"Date","PAR_surf_Flux","Qual_Surf_PAR","day","month","year","hour","minute","hhour","tzone","xlat","xlon","noon","sunrise","sunset","azimuth","zenith","eqtime","declin","daylight","PAR","PAR_particleFlux","dayLength"
2015-07-01 10:00:00,1614,210,1,7,2015,10,0,10,-8,47.6292991,-122.254822,12.2135857584308,4.25187327018231,20.1752982466792,25.4552889555562,105.265923006093,-3.79585750584658,23.1103780108122,15.9234249764969,0,0,57324.329915389
2015-07-01 10:15:00,1675,210,1,7,2015,10,0.25,10.25,-8,47.6292991,-122.254822,12.213619416153,4.2519761576672,20.1752626746389,28.8156719631626,104.114026179589,-3.7978769691821,23.1096854062339,15.9232865169717,0,0,57323.831461098
2015-07-01 10:30:00,1717,210,1,7,2015,10,0.5,10.5,-8,47.6292991,-122.254822,12.2136530662164,4.2520791091024,20.1752270233304,32.1084064584479,102.833582873277,-3.79989597298388,23.1089920708471,15.923147914228,0,0,57323.3324912208
2015-07-01 10:45:00,1767,210,1,7,2015,10,0.75,10.75,-8,47.6292991,-122.254822,12.2136867086156,4.25218212447807,20.1751912927531,35.3311283362981,101.431436446329,-3.80191451693616,23.1082980046531,15.9230091682751,0,0,57322.8330057902
2015-07-01 11:00:00,1802,210,1,7,2015,11,0,11,-8,47.6292991,-122.254822,12.2137203433454,4.25228520378439,20.1751554829064,38.4828373056426,99.9146080649585,-3.80393260072452,23.1076032076531,15.922870279122,0,0,57322.3330048393
2015-07-01 11:15:00,1832,210,1,7,2015,11,0.25,11.25,-8,47.6292991,-122.254822,12.213753970396,4.25238834699768,20.1751195937944,41.5637923951646,98.290186413363,-3.80595022376264,23.1069076799416,15.9227312467967,0,0,57321.8324884683
2015-07-01 11:30:00,1855,210,1,7,2015,11,0.5,11.5,-8,47.6292991,-122.254822,12.2137875897623,4.25249155410811,20.1750836254164,44.5753906735241,96.5652346180869,-3.80796738573612,23.1062114215198,15.9225920713083,0,0,57321.33145671
2015-07-01 11:45:00,1875,210,1,7,2015,11,0.75,11.75,-8,47.6292991,-122.254822,12.2138212014388,4.25259482510584,20.1750475777718,47.5200400391365,94.7467150512596,-3.80998408632976,23.1055144323889,15.922452752666,0,0,57320.8299095976
2015-07-01 12:00:00,1882,210,1,7,2015,12,0,12,-8,47.6292991,-122.254822,12.213854805416,4.25269815996717,20.1750114508648,50.4010350094426,92.8414316257895,-3.8120003249587,23.1048167126435,15.9223132908976,0,0,57320.3278472314
2015-07-01 12:15:00,1885,210,1,7,2015,12,0.25,12.25,-8,47.6292991,-122.254822,12.2138884016885,4.25280155868227,20.1749752446947,53.2224423757226,90.8559884604408,-3.81401610130778,23.104118262285,15.9221736860124,0,0,57319.8252696446
2015-07-01 12:30:00,1844,210,1,7,2015,12,0.5,12.5,-8,47.6292991,-122.254822,12.213921990251,4.25290502124128,20.1749389592608,55.9890016551283,88.7967633519565,-3.81603141506286,23.1034190813145,15.9220339380195,0.0179995041969615,0.0822577341801142,57319.3221768703
2015-07-01 12:45:00,1801,210,1,7,2015,12,0.75,12.75,-8,47.6292991,-122.254822,12.213955571094,4.25300854762049,20.1749025945675,58.7060436332765,86.6698943020412,-3.81804626563886,23.102719169827,15.921894046947,3.01313385804997,13.7700217312884,57318.8185690091
2015-07-01 13:00:00,1839,210,1,7,2015,13,0,13,-8,47.6292991,-122.254822,12.213989144212,4.25311213781001,20.174866150614,61.3794290284262,84.4812773513627,-3.82006065272081,23.1020185278238,15.921754012804,12.5421137430526,57.3174598057505,57318.3144460944
2015-07-01 13:15:00,1813,210,1,7,2015,13,0.25,13.25,-8,47.6292991,-122.254822,12.2140227095999,4.25321579180002,20.1748296273998,64.01550843827,82.2365741178445,-3.82207457599455,23.1013171553059,15.9216138355998,26.4290227221514,120.780633840232,57317.8098081592
2015-07-01 13:30:00,1777,210,1,7,2015,13,0.5,13.5,-8,47.6292991,-122.254822,12.2140562672479,4.25331950956674,20.1747930249291,66.6211042302905,79.941227680489,-3.82408803487543,23.1006150523688,15.9214735153624,42.8949118533778,196.029747169937,57317.3046553045
2015-07-01 13:45:00,1739,210,1,7,2015,13,0.75,13.75,-8,47.6292991,-122.254822,12.2140898171508,4.25342329110032,20.1747563432013,69.203514864386,77.60048575574,-3.82610102904945,23.0999122190135,15.921333052101,60.958952170979,278.582411421374,57316.7989875637
2015-07-01 14:00:00,1460,210,1,7,2015,14,0,14,-8,47.6292991,-122.254822,12.2141233593034,4.25352713639087,20.1747195822159,71.7705422448913,75.2194304584299,-3.82811355820183,23.0992086552414,15.921192445825,80.0478164404104,365.818521132676,57316.2928049699
2015-07-02 10:00:00,1620,210,2,7,2015,10,0,10,-8,47.6292991,-122.254822,12.2167810210966,4.26204002246183,20.1715220197313,25.4346783617158,105.346070637231,-3.98757326579497,23.0405600490704,15.9094819972695,0,0,57274.1351901702
2015-07-02 10:15:00,1679,210,2,7,2015,10,0.25,10.25,-8,47.6292991,-122.254822,12.2168139130933,4.26214898302432,20.1714788431622,28.7985757847833,104.194976208002,-3.98954678559532,23.0397974351054,15.9093298601379,0,0,57273.5874964963
2015-07-02 10:30:00,1723,210,2,7,2015,10,0.5,10.5,-8,47.6292991,-122.254822,12.2168467967886,4.26225800612656,20.1714355874507,32.0946982534211,102.915179452036,-3.99151980731856,23.0390340935639,15.9091775813242,0,0,57273.039292767
2015-07-02 10:45:00,1769,210,2,7,2015,10,0.75,10.75,-8,47.6292991,-122.254822,12.2168796721776,4.26236709175843,20.1713922525967,35.3206653882229,101.513535973428,-3.99349233065488,23.038270024447,15.9090251608383,0,0,57272.4905790179
2015-07-02 11:00:00,1805,210,2,7,2015,11,0,11,-8,47.6292991,-122.254822,12.2169125392549,4.26247623990987,20.1713488386,38.475465976261,99.9970802352077,-3.99546435529538,23.0375052277554,15.9088725986901,0,0,57271.9413552844
2015-07-02 11:15:00,1835,210,2,7,2015,11,0.25,11.25,-8,47.6292991,-122.254822,12.2169453980111,4.26258545055618,20.171305345466,41.5593529925911,98.3729147752726,-3.99743588066629,23.0367397035927,15.9087198949099,0,0,57271.3916216755
2015-07-02 11:30:00,1846,210,2,7,2015,11,0.5,11.5,-8,47.6292991,-122.254822,12.216978248441,4.26269472368726,20.1712617731947,44.5737216842539,96.6481167129352,-3.99940690645875,23.0359734519598,15.9085670495074,0,0,57270.8413782268
2015-07-02 11:45:00,1871,210,2,7,2015,11,0.75,11.75,-8,47.6292991,-122.254822,12.2170110905394,4.26280405929304,20.1712181217857,47.520981647211,94.8296622186816,-4.00137743236359,23.0352064728576,15.9084140624927,0,0,57270.2906249738
2015-07-02 12:00:00,1876,210,2,7,2015,12,0,12,-8,47.6292991,-122.254822,12.2170439242968,4.26291345734877,20.1711743912448,50.4044318868272,92.9243685594459,-4.00334745780763,23.0344387663898,15.908260933896,0,0,57269.7393620258
2015-07-02 12:15:00,1876,210,2,7,2015,12,0.25,12.25,-8,47.6292991,-122.254822,12.217076749708,4.26302291784434,20.1711305815717,53.2281457716912,90.9388525908836,-4.00531698248144,23.0336703325575,15.9081076637274,0,0,57269.1875894185
2015-07-02 12:30:00,1800,210,2,7,2015,12,0.5,12.5,-8,47.6292991,-122.254822,12.2171095667679,4.26313244076967,20.1710866927662,55.9968708397702,88.8795041239369,-4.00728600607645,23.0329011713616,15.9079542519965,0.0104359925115754,0.0476924857778995,57268.6353071875
2015-07-02 12:45:00,1813,210,2,7,2015,12,0.75,12.75,-8,47.6292991,-122.254822,12.217142375467,4.26324202610001,20.171042724834,58.7159467633808,86.7524724021857,-4.00925452802047,23.0321312829059,15.907800698734,2.76987613808402,12.658333951044,57268.0825154424
2015-07-02 13:00:00,1844,210,2,7,2015,13,0,13,-8,47.6292991,-122.254822,12.2171751758001,4.26335167382522,20.1709986777749,61.3912435057227,84.5636639306863,-4.01122254800395,23.0313606671915,15.9076470039497,12.0955052270997,55.2764588878454,57267.5292142189
2015-07-02 13:15:00,1813,210,2,7,2015,13,0.25,13.25,-8,47.6292991,-122.254822,12.217207967762,4.26346138393524,20.1709545515887,64.0291208229883,82.3187500427857,-4.01319006571886,23.0305893242193,15.9074931676535,25.8735475479053,118.242112293927,57266.9754035525
2015-07-02 13:30:00,1786,210,2,7,2015,13,0.5,13.5,-8,47.6292991,-122.254822,12.2172407513432,4.26357115640523,20.1709103462812,66.6364097596627,80.0231828366412,-4.015157080592,23.0298172540936,15.9073391898759,42.2812597173571,193.225356908322,57266.4210835534
2015-07-02 13:45:00,1734,210,2,7,2015,13,0.75,13.75,-8,47.6292991,-122.254822,12.2172735265386,4.2636809912251,20.1708660618521,69.2204166076038,77.6822184202873,-4.01712359231555,23.0290444568153,15.907185070627,60.3139236654361,275.634631151043,57265.8662542572
2015-07-02 14:00:00,1537,210,2,7,2015,14,0,14,-8,47.6292991,-122.254822,12.217306293343,4.26379088838472,20.1708216983013,71.7889499039023,75.3009467503243,-4.01908960058028,23.0282709323853,15.9070308099166,79.3867095752973,362.797262759109,57265.3109156997
2015-07-03 10:00:00,1632,210,3,7,2015,10,0,10,-8,47.6292991,-122.254822,12.2198998637253,4.2727832868811,20.1670164405695,25.4172269726881,105.432251800952,-4.17470382351736,22.9640363118232,15.8942331536884,0,0,57219.2393532781
2015-07-03 10:15:00,1687,210,3,7,2015,10,0.25,10.25,-8,47.6292991,-122.254822,12.2199319289363,4.27289818283975,20.1669656750329,28.7848764985378,104.281830616041,-4.17662773617796,22.9632040112498,15.8940674921931,0,0,57218.6429718952
2015-07-03 10:30:00,1733,210,3,7,2015,10,0.5,10.5,-8,47.6292991,-122.254822,12.2199639852167,4.27301313987994,20.1669148305535,32.0846069214633,103.002546547834,-4.17855111300202,22.9623709866008,15.8939016906735,0,0,57218.0460864247
2015-07-03 10:45:00,1783,210,3,7,2015,10,0.75,10.75,-8,47.6292991,-122.254822,12.2199960325614,4.27312815799139,20.1668639071315,35.3140221357233,101.601269025131,-4.18047395368675,22.9615372378769,15.8937357491401,0,0,57217.4486969044
2015-07-03 11:00:00,1807,210,3,7,2015,11,0,11,-8,47.6292991,-122.254822,12.2200280709655,4.27324323716383,20.1668129047671,38.4721009517239,100.085047306395,-4.18239625792896,22.9607027650786,15.8935696676033,0,0,57216.8508033719
2015-07-03 11:15:00,1831,210,3,7,2015,11,0.25,11.25,-8,47.6292991,-122.254822,12.2200601004195,4.27335837737152,20.1667618234674,41.5590915476612,98.4609991761687,-4.1843180251681,22.9598675683183,15.8934034460959,0,0,57216.2524059452
2015-07-03 11:30:00,1850,210,3,7,2015,11,0.5,11.5,-8,47.6292991,-122.254822,12.2200921209184,4.27347357860418,20.1667106632325,44.5763888342126,96.7362170191871,-4.18623925510136,22.9590316475967,15.8932370846283,0,0,57215.653504662
2015-07-03 11:45:00,1868,210,3,7,2015,11,0.75,11.75,-8,47.6292991,-122.254822,12.2201241324571,4.27358884085151,20.1666594240627,47.5264057432998,94.9176919508344,-4.18815994742592,22.9581950029144,15.8930705832112,0,0,57215.0540995602
2015-07-03 12:00:00,1876,210,3,7,2015,12,0,12,-8,47.6292991,-122.254822,12.2201561350264,4.27370416408776,20.166608105965,50.4124474953281,93.0122556139276,-4.19008010158132,22.9573576343841,15.8929039418772,0,0,57214.4541907579
2015-07-03 12:15:00,1879,210,3,7,2015,12,0.25,12.25,-8,47.6292991,-122.254822,12.2201881286211,4.27381954830263,20.1665567089395,53.2385957997992,91.0265385052792,-4.19199971726516,22.9565195420065,15.8927371606369,0,0,57213.8537782929
2015-07-03 12:30:00,1438,210,3,7,2015,12,0.5,12.5,-8,47.6292991,-122.254822,12.2202201132363,4.27393499348584,20.1665052329867,56.0096079755947,88.9669432479342,-4.19391879417521,22.9556807257819,15.8925702395008,0.00537029701700748,0.0245422573677242,57213.252862203
2015-07-03 12:45:00,1853,210,3,7,2015,12,0.75,12.75,-8,47.6292991,-122.254822,12.2202520888625,4.27405049961158,20.1664536781134,58.7308343096089,86.8396310329444,-4.19583733175091,22.9548411858237,15.8924031785019,2.52415222936109,11.5353756881802,57212.6514426067
2015-07-03 13:00:00,1837,210,3,7,2015,13,0,13,-8,47.6292991,-122.254822,12.2202840554948,4.27416606666957,20.1664020443201,61.4081556866772,84.6505194588504,-4.19775532969055,22.9540009221322,15.8922359776505,11.6307231192057,53.1524046547701,57212.049519542
2015-07-03 13:15:00,1808,210,3,7,2015,13,0.25,13.25,-8,47.6292991,-122.254822,12.2203160131282,4.27428169464948,20.1663503316069,64.0479426360052,82.4052901437742,-4.19967278769104,22.9531599347082,15.8920686369574,25.2917174289286,115.583148650204,57211.4470930467
2015-07-03 13:30:00,1774,210,3,7,2015,13,0.5,13.5,-8,47.6292991,-122.254822,12.2203479617532,4.27439738352553,20.1662985399809,66.6570364264945,80.1094047317943,-4.20158970519363,22.9523182236648,15.8919011564554,41.6373495292379,190.282687348617,57210.8441632394
2015-07-03 13:45:00,1654,210,3,7,2015,13,0.75,13.75,-8,47.6292991,-122.254822,12.2203799013649,4.27451313328738,20.1662466694425,69.2427526615816,77.7681282239368,-4.20350608189559,22.9514757890027,15.8917335361551,59.6368412026666,272.540364296186,57210.2407301583
2015-07-03 14:00:00,1682,210,3,7,2015,14,0,14,-8,47.6292991,-122.254822,12.2204118319583,4.27462894392476,20.1661947199918,71.8129079246571,75.3865589117449,-4.20542191749564,22.9506326307223,15.891565776067,78.6928431820475,359.626293341957,57209.6367938412
2015-07-04 10:00:00,1616,210,4,7,2015,10,0,10,-8,47.6292991,-122.254822,12.2229364856542,4.28408963471682,20.1617833365915,25.4030015618038,105.524413876873,-4.35690113925099,22.880839005455,15.8776937018747,0,0,57159.697326749
2015-07-04 10:15:00,1678,210,4,7,2015,10,0.25,10.25,-8,47.6292991,-122.254822,12.2229676643223,4.28421032400504,20.1617250046396,28.7746386774573,104.374534129732,-4.35877185933841,22.8799373666545,15.8775146806345,0,0,57159.0528502844
2015-07-04 10:30:00,1729,210,4,7,2015,10,0.5,10.5,-8,47.6292991,-122.254822,12.2229988334446,4.28433107287294,20.1616665940162,32.0781946634394,103.095626406904,-4.36064200667501,22.8790350075436,15.8773355211433,0,0,57158.4078761158
2015-07-04 10:45:00,1772,210,4,7,2015,10,0.75,10.75,-8,47.6292991,-122.254822,12.2230299930161,4.28445188131007,20.1616081047221,35.3112582657199,101.694575551914,-4.36251158096514,22.8781319281226,15.877156223412,0,0,57157.7624042833
2015-07-04 11:00:00,1809,210,4,7,2015,11,0,11,-8,47.6292991,-122.254822,12.2230611430319,4.28457274930598,20.1615495367578,38.4727992949159,100.17844712409,-4.36438058191248,22.8772281283915,15.8769767874518,0,0,57157.1164348264
2015-07-04 11:15:00,1844,210,4,7,2015,11,0.25,11.25,-8,47.6292991,-122.254822,12.2230922834828,4.28469367683399,20.1614908901317,41.5630624206732,98.5543755510425,-4.3662490089698,22.8763236084721,15.8767972132977,0,0,57156.4699678716
2015-07-04 11:30:00,1860,210,4,7,2015,11,0.5,11.5,-8,47.6292991,-122.254822,12.223123414364,4.28481466388362,20.1614321648444,44.5834437325316,96.8294697560318,-4.36811686184118,22.8754183683644,15.8766175009608,0,0,57155.8230034589
2015-07-04 11:45:00,1877,210,4,7,2015,11,0.75,11.75,-8,47.6292991,-122.254822,12.2231545356705,4.28493571044441,20.1613733608966,47.5363611641079,95.0107369436594,-4.36998414023075,22.8745124080686,15.8764376504522,0,0,57155.1755416279
2015-07-04 12:00:00,1877,210,4,7,2015,12,0,12,-8,47.6292991,-122.254822,12.2231856473932,4.28505681648967,20.1613144782967,50.4251279019309,93.1050241500344,-4.37185084359192,22.8736057277064,15.876257661807,0,0,57154.5275825053
2015-07-04 12:15:00,1877,210,4,7,2015,12,0.25,12.25,-8,47.6292991,-122.254822,12.2232167495272,4.28517798200894,20.1612555170454,53.2538357802468,91.1189764111674,-4.3737169716295,22.872698327278,15.8760775350364,0,0,57153.8791261311
2015-07-04 12:30:00,1484,210,4,7,2015,12,0.5,12.5,-8,47.6292991,-122.254822,12.2232478420674,4.28529920699173,20.1611964771432,56.0272536753312,89.0590099525504,-4.375582524047,22.8717902067837,15.8758972701514,0.00235509016965479,0.0107627620753224,57153.2301725452
2015-07-04 12:45:00,1856,210,4,7,2015,12,0.75,12.75,-8,47.6292991,-122.254822,12.223278925005,4.28542049141131,20.1611373585986,58.7507442291649,86.9312986098083,-4.37744750029871,22.8708813663454,15.8757168671873,2.27813083080229,10.4110578967664,57152.5807218744
2015-07-04 13:00:00,1840,210,4,7,2015,13,0,13,-8,47.6292991,-122.254822,12.2233099983348,4.28554183525722,20.1610781614124,61.4302009340436,84.7417716949762,-4.3793119000894,22.8699718059632,15.8755363261552,11.1492796263156,50.9522078922623,57151.9307741587
2015-07-04 13:15:00,1806,210,4,7,2015,13,0.25,13.25,-8,47.6292991,-122.254822,12.223341062052,4.28566323851895,20.1610188855851,64.0720067126672,82.4961216709186,-4.38117572312274,22.8690615256375,15.8753556470662,24.6845898510791,112.808575619431,57151.2803294382
2015-07-04 13:30:00,1772,210,4,7,2015,13,0.5,13.5,-8,47.6292991,-122.254822,12.2233721161476,4.28578470116981,20.1609595311253,66.6830146089655,80.1998202449435,-4.38303896885442,22.8681505254902,15.8751748299555,40.9640246075215,187.205592456373,57150.6293878399
2015-07-04 13:45:00,1671,210,4,7,2015,13,0.75,13.75,-8,47.6292991,-122.254822,12.2234031606165,4.28590622319924,20.1609000980337,69.270551018418,77.8581418031116,-4.38490163698776,22.867238805522,15.8749938748344,58.9284411733613,269.302976162261,57149.977949404
2015-07-04 14:00:00,1556,210,4,7,2015,14,0,14,-8,47.6292991,-122.254822,12.2234341954538,4.28602780459681,20.1608405863108,71.8424419831761,75.4761934559368,-4.38676372722802,22.8663263657326,15.874812781714,77.9668934539989,356.308703084775,57149.3260141703
2015-07-05 10:00:00,1128,210,5,7,2015,10,0,10,-8,47.6292991,-122.254822,12.2258852158787,4.29594523433093,20.1558251974265,25.3920676683908,105.622502253251,-4.53382495272428,22.7910027728228,15.8598799630956,0,0,57095.5678671442
2015-07-05 10:15:00,1344,210,5,7,2015,10,0.25,10.25,-8,47.6292991,-122.254822,12.2259154496455,4.29607157087901,20.1557593284121,28.7679255668946,104.473029545101,-4.53563897873228,22.7900321693238,15.8596877575331,0,0,57094.875927119
2015-07-05 10:30:00,1372,210,5,7,2015,10,0.5,10.5,-8,47.6292991,-122.254822,12.2259456732663,4.29619796546527,20.1556933810674,32.0755222512336,103.194359412416,-4.53745239597967,22.7890608495391,15.8594954156021,0,0,57094.1834961676
2015-07-05 10:45:00,1593,210,5,7,2015,10,0.75,10.75,-8,47.6292991,-122.254822,12.2259758867363,4.29632441807911,20.1556273553935,35.3124319286787,101.793393713853,-4.53926520417716,22.7880888134685,15.8593029373144,0,0,57093.4905743317
2015-07-05 11:00:00,1469,210,5,7,2015,11,0,11,-8,47.6292991,-122.254822,12.2260060900506,4.29645092870995,20.1555612513913,38.4776164200858,100.277215821818,-4.54107740303627,22.7871160611118,15.8591103226813,0,0,57092.7971616527
2015-07-05 11:15:00,1336,210,5,7,2015,11,0.25,11.25,-8,47.6292991,-122.254822,12.2260362832004,4.2965774973302,20.1554950690706,41.5713182077631,98.6529782067317,-4.54288899202437,22.7861425925994,15.8589175717404,0,0,57092.1032582655
2015-07-05 11:30:00,1253,210,5,7,2015,11,0.5,11.5,-8,47.6292991,-122.254822,12.2260664661809,4.29670412392927,20.1554288084325,44.5949361064683,96.9278076036102,-4.54469997085337,22.7851684079309,15.8587246845032,0,0,57091.4088642116
2015-07-05 11:45:00,1479,210,5,7,2015,11,0.75,11.75,-8,47.6292991,-122.254822,12.2260966389872,4.29683080849656,20.1553624694779,47.550894745477,95.1087284479626,-4.54651033923377,22.7841935071062,15.8585316609813,0,0,57090.7139795328
2015-07-05 12:00:00,1549,210,5,7,2015,12,0,12,-8,47.6292991,-122.254822,12.2261268016106,4.29695755100448,20.1552960522167,50.4425170531067,93.2026041816687,-4.54832009663453,22.7832178902558,15.8583385012122,0,0,57090.0186043639
2015-07-05 12:15:00,1588,210,5,7,2015,12,0.25,12.25,-8,47.6292991,-122.254822,12.2261569540461,4.29708435144239,20.1552295566498,53.2739067927255,91.2160952712297,-4.55012924276652,22.7822415573797,15.8581452052074,0,0,57089.3227387468
2015-07-05 12:30:00,1514,210,5,7,2015,12,0.5,12.5,-8,47.6292991,-122.254822,12.226187096289,4.2972112097997,20.1551629827783,56.0498461908857,89.1556323268257,-4.55193777734132,22.7812645084775,15.8579517729786,0.00082688470432905,0.00377886309878376,57088.6263827231
2015-07-05 12:45:00,1510,210,5,7,2015,12,0.75,12.75,-8,47.6292991,-122.254822,12.2262172283305,4.29733812604882,20.1550963306121,58.7757119975371,87.0274025167142,-4.5537456998284,22.7802867436799,15.8577582045633,2.03407779976115,9.29573554490848,57087.9295364279
